"RingNR","Opponent1_ID","Opponent2_ID","TrialID","GroupID","Producing_events","Scrounging_events","TrialNR_Indiv","Trial_day_bin","Grp_tr_b4","bmr_YN","Year","Series_ID_year","Series_opp1_year","Series_opp2_year"
"8P26891","8P26890","8P26889","20_1",1,0,1,5,1,0,1,2022,"8P26891_2022","8P26890_2022","8P26889_2022"
"8P26887","8P26888","8P14992","20_3",1,3,0,4,1,0,1,2022,"8P26887_2022","8P26888_2022","8P14992_2022"
"8P26888","8P14992","8P26887","20_3",1,5,0,5,1,0,1,2022,"8P26888_2022","8P14992_2022","8P26887_2022"
"8P14992","8P26890","8P26887","21_3",1,2,0,5,1,0,1,2022,"8P14992_2022","8P26890_2022","8P26887_2022"
"8P26887","8P14992","8P26890","21_3",1,0,1,5,1,0,1,2022,"8P26887_2022","8P14992_2022","8P26890_2022"
"8P26890","8P26887","8P14992","21_3",1,1,0,5,1,0,1,2022,"8P26890_2022","8P26887_2022","8P14992_2022"
"8P26887","8P26891","8P26890","22_1",1,0,1,6,1,0,1,2022,"8P26887_2022","8P26891_2022","8P26890_2022"
"8P26890","8P26887","8P26891","22_1",1,1,0,6,1,0,1,2022,"8P26890_2022","8P26887_2022","8P26891_2022"
"8P26891","8P26890","8P26887","22_1",1,4,0,6,1,0,1,2022,"8P26891_2022","8P26890_2022","8P26887_2022"
"8P14992","8P26889","8P26888","22_2",1,3,0,6,1,0,1,2022,"8P14992_2022","8P26889_2022","8P26888_2022"
"8P26888","8P14992","8P26889","22_2",1,2,1,6,1,0,1,2022,"8P26888_2022","8P14992_2022","8P26889_2022"
"8P26889","8P26888","8P14992","22_2",1,1,2,6,1,0,1,2022,"8P26889_2022","8P26888_2022","8P14992_2022"
"8P26887","8P26889","8P26888","23_1",1,0,2,7,1,0,1,2022,"8P26887_2022","8P26889_2022","8P26888_2022"
"8P26888","8P26887","8P26889","23_1",1,5,0,7,1,0,1,2022,"8P26888_2022","8P26887_2022","8P26889_2022"
"8P14992","8P26889","8P26891","24_2",1,1,0,7,1,0,1,2022,"8P14992_2022","8P26889_2022","8P26891_2022"
"8P26889","8P26891","8P14992","24_2",1,5,0,8,1,0,1,2022,"8P26889_2022","8P26891_2022","8P14992_2022"
"8P26891","8P14992","8P26889","24_2",1,1,0,7,1,0,1,2022,"8P26891_2022","8P14992_2022","8P26889_2022"
"8P26887","8P26888","8P26890","24_3",1,1,0,8,1,0,1,2022,"8P26887_2022","8P26888_2022","8P26890_2022"
"8P26888","8P26890","8P26887","24_3",1,1,2,8,1,0,1,2022,"8P26888_2022","8P26890_2022","8P26887_2022"
"8P26890","8P26887","8P26888","24_3",1,1,0,7,1,0,1,2022,"8P26890_2022","8P26887_2022","8P26888_2022"
"8P14992","8P26890","8P26891","25_2",1,1,0,8,1,0,1,2022,"8P14992_2022","8P26890_2022","8P26891_2022"
"8P26890","8P26891","8P14992","25_2",1,2,0,8,1,0,1,2022,"8P26890_2022","8P26891_2022","8P14992_2022"
"8P26891","8P14992","8P26890","25_2",1,2,0,8,1,0,1,2022,"8P26891_2022","8P14992_2022","8P26890_2022"
"8P14992","8P26887","8P26891","26_1",1,1,0,9,1,0,1,2022,"8P14992_2022","8P26887_2022","8P26891_2022"
"8P26887","8P26891","8P14992","26_1",1,2,1,9,1,0,1,2022,"8P26887_2022","8P26891_2022","8P14992_2022"
"8P26891","8P14992","8P26887","26_1",1,2,0,9,1,0,1,2022,"8P26891_2022","8P14992_2022","8P26887_2022"
